codigo,descripcion,uvr,valor,capitulo,ref
020101,"CORRECION DE CRANEO SINOSTOSIS, POR CRANIECTOMIA SIN AVANCES",380,,ARTICULO 1,01100
020102,"CORRECION DE CRANEO SINOSTOSIS, POR CRANIECTOMIA CON AVANCE FRONTAL",380,,ARTICULO 1,01101
020104,"CORRECCION DE CRANEO ESTENOSIS MULTIPLE CON BRAQUICEFALIA, CON AVANCE",380,,ARTICULO 1,01101
020106,CORRECCION DE CRANEO ESTENOSIS CON ALTERACION CRANEO FACIAL COMPLEJA,620,,ARTICULO 1,01102
020107,CORRECCION DE CRANEO ESTENOSIS CON ALTERACION CRANEO FACIAL COMPLEJA,620,,ARTICULO 1,01102
020108,CORRECCION DE CRANEO ESTENOSIS CON ALTERACION CRANEO FACIAL COMPLEJA,620,,ARTICULO 1,01102
021212,"CORRECION DE MENINGOCELE DE FOSA ANTERIOR, CON AVANCE FRONTO ORBITARIO",700,,ARTICULO 1,01102
021209,"CORRECION DE MENINGOCELE , POR CRANIECTOMIA",315,,ARTICULO 1,01103
021210,"CORRECION DE MENINGOCELE , CON CRANEOPLASTIA",430,,ARTICULO 1,01103
021211,"CORRECION DE MENINGOCELE DE FOSA ANTERIOR, POR CRANIECTOMIA Y PLASTIA DE",395,,ARTICULO 1,01103
021213,"CORRECION DE MENINGOCELE DE FOSA ANTERIOR, VIA TRANSNASAL ENDOSCOPICA",395,,ARTICULO 1,01103
021214,CORRECCION DE MENINGOENCEFALOCELE POR CRANIECTOMIA CON PLASTIA DE,510,,ARTICULO 1,01103
035201,CORRECCION DE ANOMALIA DE MEDULA ESPINAL EN UNION CRANEOCERVICAL POR,420,,ARTICULO 1,01104
035202,CORRECCION DE ANOMALIA DE MEDULA ESPINAL EN UNION CRANEOCERVICAL POR CRANIECTOMIA SUBOCCIPITAL CON LAMINECTOMIA C1-C2 Y DUROPLASTIA,420,,ARTICULO 1,01104
020103,"CORRECCION DE CRANEO ESTENOSIS MULTIPLE CON BRAQUICEFALIA, POR",380,,ARTICULO 1,01105
020105,CORRECCION DE CRANEO ESTENOSIS CON ALTERACION CRANEO FACIAL COMPLEJA,380,,ARTICULO 1,01105
020203,REDUCCION DE FRACTURA CRANEAL (HUNDIMIENTO SIN COMPROMISO DE DURA) CON ESQUIRLECTOMIA Y CRANEOPLASTIA (1),390,,ARTICULO 1,01111
020201,ESQUIRLECTOMIA CRANEAL A TRAVES DE TREPANACION (1),220,,ARTICULO 1,01110
020202,DESBRIDAMIENTO DE FRACTURA COMPUESTA (CONMINUTA) DE CRANEO (1),355,,ARTICULO 1,01113
020204,"REDUCCION DE FRACTURA COMPUESTA (CONMINUTA) DE CRANEO, CON PLASTIA (1)",435,,ARTICULO 1,01113
012100,INCISION Y DRENAJE DE SENO FRONTAL SOD * (371),375,,ARTICULO 1,01114
012401,"DRENAJE DE ESPACIO EPIDURAL SUPRATENTORIAL, POR CRANEOTOMIA",375,,ARTICULO 1,01114
012410,EXTRACCION DE CUERPO EXTRAÑO INTRACRANEAL POR CRANEOTOMIA,375,,ARTICULO 1,01114
012502,"DRENAJE DE COLECCIÓN EPIDURAL SUPRATENTORIAL, POR CRANIECTOMIA",555,,ARTICULO 1,01114
012503,"DRENAJE DE COLECCIÓN EPIDURAL FOSA POSTERIOR, POR CRANIECTOMIA",555,,ARTICULO 1,01114
013103,"DRENAJE DE ESPACIO SUBDURAL EN FOSA POSTERIOR, POR CRANIECTOMIA",555,,ARTICULO 1,01114
013110,DRENAJE DE ESPACIO SUBDURAL CON REPARO DE SENOS DURALES ROTOS,455,,ARTICULO 1,01114
012402,"DRENAJE DE ESPACIO EPIDURAL FOSA POSTERIOR, POR CRANEOTOMIA",375,,ARTICULO 1,01115
013101,"DRENAJE DE ESPACIO SUBDURAL , POR CRANEOTOMIA",285,,ARTICULO 1,01115
013102,"DRENAJE DE ESPACIO SUBDURAL , POR TREPANACION",285,,ARTICULO 1,01115
013104,"DRENAJE DE ESPACIO SUBDURAL , POR DRENAJE EXTERNO",285,,ARTICULO 1,01115
017001,"DRENAJE DE COLECCIONES INTRACEREBRALES , POR CRANEOTOMIA",525,,ARTICULO 1,01116
017303,DRENAJE DE QUISTE TUMORAL INFRATENTORIAL,590,,ARTICULO 1,01116
017805,DRENAJE DE QUISTE TUMORAL DE LINEA MEDIA INTRAVENTICULAR,590,,ARTICULO 1,01116
017004,DRENAJE DE COLECCIONES INTRACEREBRALES DE FOSA POSTERIOR POR,690,,ARTICULO 1,01117
012501,"SECUESTRECTOMIA DE CRANEO, POR CRANIECTOMIA (171)",90,,ARTICULO 1,M01103
385104,"OCLUSION, PINZAMIENTO O LIGADURA DE ARTERIA CEREBRAL MEDIA",350,,ARTICULO 1,01121
385102,"OCLUSION, PINZAMIENTO O LIGADURA DE ARTERIA CAROTIDA INTRACEREBRAL",350,,ARTICULO 1,01121
385103,"OCLUSION, PINZAMIENTO O LIGADURA DE CAROTIDA EN SENO CAVERNOSO",350,,ARTICULO 1,01121
385111,"OCLUSION, PINZAMIENTO O LIGADURA DE LESION EN ARTERIA VERTEBRAL",350,,ARTICULO 1,01122
385101,"OCLUSION, PINZAMIENTO O LIGADURA DE ARTERIAS DE CIRCULACION CEREBRAL",685,,ARTICULO 1,01123
385105,"OCLUSION, PINZAMIENTO O LIGADURA DE VASOS MENINGEOS Y/O SENOS DURALES",685,,ARTICULO 1,01123
385110,"OCLUSION, PINZAMIENTO O LIGADURA DE ARTERIAS DE CIRCULACION CEREBRAL",685,,ARTICULO 1,01124
383101,RESECCION DE MALFORMACION ARTERIOVENOSA SUPRATENTORIAL SPETZLER I Y II,855,,ARTICULO 1,01125
383102,"RESECCION DE MALFORMACION ARTERIOVENOSA SUPRATENTORIAL SPETZLER III, IV Y V",855,,ARTICULO 1,01125
383103,RESECCION DE MALFORMACIONES ARTERIO VENOSAS DE LINEA MEDIA E,855,,ARTICULO 1,01125
383104,RESECCION DE MALFORMACION ARTERIOVENOSA INFRATENTORIAL SPETZLER I Y II,880,,ARTICULO 1,01126
383105,"RESECCION DE MALFORMACION ARTERIOVENOSA INFRATENTORIAL SPETZLER III, IV Y V",880,,ARTICULO 1,01126
381203,ENDARTERECTOMIA DE CAROTIDA INTERNA PORCION CERVICAL (76),365,,ARTICULO 1,01127
381101,ENDARTERECTOMIA DE LA CAROTIDA INTERNA PORCION INTRACRANEAL (76),560,,ARTICULO 1,01128
380101,TROMBOEMBOLECTOMIA DE CEREBRAL MEDIA (367),560,,ARTICULO 1,01128
380102,TROMBOEMBOLECTOMIA DE COMUNICANTE ANTERIOR (367),560,,ARTICULO 1,01128
380103,TROMBOEMBOLECTOMIA DE CAROTIDA INTERNA SUPRACLINOIDEA (367),560,,ARTICULO 1,01128
380104,TROMBOEMBOLECTOMIA DE OFTALMICA (367),560,,ARTICULO 1,01128
383201,RESECCION DE MALFORMACION ARTERIOVENOSA DE CUERO CABELLUDO (172),165,,ARTICULO 1,01129
015101,"RESECCION TUMOR OSEO, POR CRANEOTOMIA",85,,ARTICULO 1,01131
015102,"RESECCION TUMOR OSEO, POR CRANIECTOMIA",100,,ARTICULO 1,01131
020401,"CORRECCION DE DEFECTO OSEO PREEXISTENTE POR CRANEOPLASTIA, CON INJERTO",240,,ARTICULO 1,01131
016101,"RESECCION TUMOR DE MENINGE CEREBRAL, POR CRANEOTOMIA",190,,ARTICULO 1,01132
