codigo,descripcion
01.0.1.01,"PUNCIÓN CISTERNAL, VÍA LATERAL"
01.0.1.02,"PUNCIÓN CISTERNAL, VÍA MEDIAL"
01.0.1.03,PUNCIÓN CISTERNAL
01.0.2.01,PUNCIÓN (ASPIRACIÓN DE LÍQUIDO) VENTRICULAR A TRAVÉS DE CATÉTER PREVIAMENTE IMPLANTADO
01.0.2.02,PUNCIÓN (ASPIRACIÓN DE LÍQUIDO) VENTRICULAR POR TREPANACIÓN (SIN CATÉTER)
01.0.2.03,PUNCIÓN (ASPIRACIÓN DE LÍQUIDO) VENTRICULAR A TRAVÉS DE UN RESERVORIO
01.0.2.04,"PUNCIÓN (ASPIRACIÓN DE LÍQUIDO) VENTRICULAR, VÍA TRANSFONTANELAR"
01.0.2.05,PUNCIÓN (ASPIRACIÓN DE LÍQUIDO) VENTRICULAR
01.0.9.01,PUNCIÓN SUBDURAL
01.0.9.02,OTRA PUNCIÓN CRANEAL
01.1.1.01,BIOPSIA ÓSEA EN CRÁNEO POR CRANEOTOMÍA
01.1.1.02,BIOPSIA ÓSEA EN CRÁNEO POR CRANIECTOMÍA
01.1.1.03,BIOPSIA DE CRÁNEO
01.1.2.01,"BIOPSIA DE MENINGE, POR CRANEOTOMÍA"
01.1.2.02,BIOPSIA DE MENINGE CEREBRAL
01.1.3.01,BIOPSIA CERRADA (PERCUTÁNEA) (AGUJA) DE CEREBRO
01.1.3.02,BIOPSIA ABIERTA (CRANEOTOMÍA) DE CEREBRO
01.1.3.03,"BIOPSIA DE REGIÓN PINEAL, TÁLAMO, CEREBELO O TALLO CEREBRAL BIOPSIA DE CEREBRO POR TREPANACIÓN"
01.1.3.06,BIOPSIA DE CEREBRO SUPERFICIAL POR ESTEREOTAXIA
01.1.3.07,AQUELLA POR LESIONES CORTICALES Y SUBCORTICALES HEMISFÉRICAS BIOPSIA DE CEREBRO PROFUNDA POR ESTEREOTAXIA
01.2.1.01,FRONTAL CRANEALIZACIÓN DE SENO FRONTAL
01.2.1.02,INCISIÓN Y DRENAJE DE SENO FRONTAL
01.2.1.03,DESFUNCIONALIZACIÓN DE SENO FRONTAL
01.2.2.01,ELECTRODO INTRACRANEAL RETIRO O SUSTITUCIÓN DE ELECTRODO CRANEAL PROFUNDO O INTRAPARENQUIMATOSO
01.2.2.02,RETIRO O SUSTITUCIÓN DE ELECTRODO EPIDURAL
01.2.2.03,RETIRO O SUSTITUCIÓN DE ELECTRODO SUBDURAL
01.2.2.04,RETIRO O SUSTITUCIÓN DE ELECTRODO A NERVIO CRANEAL O PERIFÉRICO
01.2.2.05,RETIRO O SUSTITUCIÓN DE NEUROESTIMULADOR INTRACRANEAL
01.2.2.06,REVISIÓN DE ELECTRODO CRANEAL PROFUNDO O INTRAPARENQUIMATOSO
01.2.2.07,REVISIÓN DE ELECTRODO EPIDURAL
01.2.2.08,REVISIÓN DE ELECTRODO SUBDURAL
01.2.2.09,REVISIÓN DE ELECTRODO A NERVIO CRANEAL O PERIFÉRICO
01.2.2.10,REVISIÓN DE NEUROESTIMULADOR
01.2.3.01,REAPERTURA DE CRANEOTOMÍA
01.2.4.01,"AQUELLA POR HEMATOMA EPIDURAL, EMPIEMA EPIDURAL U OTRA COLECCIÓN O LESIÓN LOCALIZADAS EN EL ESPACIO EPIDURAL DRENAJE DE ESPACIO EPIDURAL SUPRATENTORIAL, POR CRANEOTOMÍA"
01.2.4.02,"DRENAJE DE ESPACIO EPIDURAL FOSA POSTERIOR, POR CRANEOTOMÍA"
01.2.4.03,CRANEOTOMÍA (DESCOMPRESIVA O EXPLORATORIA)
01.2.4.10,"EXTRACCIÓN DE CUERPO EXTRAÑO INTRACRANEAL, POR CRANEOTOMÍA"
01.2.5.01,"SECUESTRECTOMÍA DE CRÁNEO, POR CRANIECTOMÍA"
01.2.5.02,"DRENAJE DE COLECCIÓN EPIDURAL SUPRATENTORIAL, POR CRANIECTOMÍA"
01.2.5.03,"DRENAJE DE COLECCIÓN EPIDURAL FOSA POSTERIOR, POR CRANIECTOMÍA"
01.2.5.05,CRANIECTOMÍA DESCOMPRESIVA BIFRONTAL
01.2.5.06,CRANIECTOMÍA DESCOMPRESIVA HEMISFÉRICA
01.2.5.07,CRANIECTOMÍA DESCOMPRESIVA EN FOSA POSTERIOR
01.3.1.01,"POR HEMATOMA SUBDURAL AGUDO, HEMATOMA SUBDURAL CRÓNICO, HIGROMA, EMPIEMA, LESIONES QUÍSTICAS U OTRAS LESIONES LOCALIZADAS EN ESPACIO SUBDURAL O SUBARACNOIDEO DRENAJE DE ESPACIO SUBDURAL, POR CRANEOTOMÍA"
01.3.1.02,"DRENAJE DE ESPACIO SUBDURAL, POR TREPANACIÓN"
01.3.1.03,"DRENAJE DE ESPACIO SUBDURAL EN FOSA POSTERIOR, POR CRANIECTOMÍA"
01.3.1.04,"DRENAJE DE ESPACIO SUBDURAL, POR DRENAJE EXTERNO"
01.3.1.05,"DRENAJE DE ESPACIO SUBARACNOIDEO, POR DERIVACIÓN CISTO PERITONEAL"
01.3.1.06,"DRENAJE DE ESPACIO SUBDURAL, POR DERIVACIÓN SUBDURO PERITONEAL"
01.3.1.07,INCISIÓN DE MENINGES CEREBRALES
01.3.1.10,CUPS” CÓDIGO                                 DESCRIPCIÓN DRENAJE DE ESPACIO SUBDURAL CON REPARO DE SENOS DURALES ROTOS
01.3.2.01,CIRUGÍA FUNCIONAL) SECCIÓN DE TEJIDO CEREBRAL (TRACTOS CEREBRALES) CON ABLACIÓN POR ESTEREOTAXIA
